C_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,C_Depth,C_Quartz,C_Tot_K_fs,C_Tot_Plag,C_Tot_Flds,C_Tot_14A,C_Tot_10A,C_Kaolinit,C_Tot_Clay,C_Gibbsite,C_Calcite,C_Dolomite,C_Aragon,C_Tot_Carb,C_Analcime,C_Heuland,C_Tot_Zeol,C_Gypsum,C_Talc,C_Hornbl,C_Serpent,C_Hematite,C_Goethite,C_Pyroxene,C_Pyrite,C_Other,C_Amorph,C_Ag,C_Al,C_As,C_Ba,C_Be,C_Bi,C_C_Tot,C_C_Inorg,C_C_Org,C_Ca,C_Cd,C_Ce,C_Co,C_Cr,C_Cs,C_Cu,C_Fe,C_Ga,C_Hg,C_In,C_K,C_La,C_Li,C_Mg,C_Mn,C_Mo,C_Na,C_Nb,C_Ni,C_P,C_Pb,C_Rb,C_S,C_Sb,C_Sc,C_Se,C_Sn,C_Sr,C_Te,C_Th,C_Ti,C_Tl,C_U,C_V,C_W,C_Y,C_Zn
C-352700,12908,TN,35.1232,-85.0457,07/21/10,Planted/Cultivated,Pasture/Hay,105-120,75.7,0.7,N.D.,0.7,N.D.,6.6,8.1,14.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,8.9,<1,4.34,9.2,237,1.2,0.21,0.23,N.D.,0.23,0.12,<0.1,89.8,11.9,35,<5,13.1,2.8,11.6,0.03,0.04,0.8,36.7,38,0.23,718,0.62,0.06,6.1,16.2,200,22.5,65.3,0.01,0.33,8.8,0.4,1.3,41.8,<0.1,12.5,0.52,0.4,3.6,67,0.2,17.1,51
C-353093,13164,TN,36.1389,-83.9903,07/09/10,Forested Upland,Mixed Forest,105-120,36.9,N.D.,N.D.,N.D.,N.D.,26.7,6.5,33.1,9.1,N.D.,N.D.,1.9,1.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,18.9,<1,10.3,17.6,343,3.7,0.38,0.15,0.2,N.D.,0.1,<0.1,128,24.6,57,6,26.1,5.14,25.2,0.06,0.09,2.81,57.7,79,0.82,280,0.5,0.28,17.5,46,590,30.7,126,0.01,0.42,17.4,0.3,3,63.9,<0.1,14.5,0.49,0.7,4.1,110,1.9,75.7,82
C-357731,12,TX,32.6272,-96.8991,06/25/10,Forested Upland,Deciduous Forest,78-104,21,N.D.,0.4,0.4,6.9,7,N.D.,13.8,N.D.,38,N.D.,N.D.,38,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,26.7,<1,3.9,5.9,208,1.4,0.26,5.98,4.6,1.4,19.2,0.4,55.2,7.6,28,<5,22.6,1.89,9.12,0.01,0.07,0.65,27.4,21,0.46,568,0.78,0.12,8.8,27,600,13.4,55.6,0.03,0.77,6.7,<0.2,1.2,429,<0.1,7.2,0.2,0.6,2.2,62,0.7,21.1,75
C-357732,28,TX,28.5238,-98.3872,07/21/10,Shrubland,Shrubland,75-102,9.1,N.D.,5.3,5.3,9.9,N.D.,N.D.,9.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,4.9,4.9,36.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,34,<1,4.67,8.3,90,1.4,0.26,0.29,N.D.,0.29,9.59,<0.1,27.1,4.1,10,6,8.5,2.08,11.8,0.02,0.05,1.04,13.4,30,0.57,62,3.58,0.65,12.1,5,110,17.3,61.5,7.31,0.75,5.7,0.7,1.4,492,<0.1,9.2,0.18,0.4,4.6,42,1.1,10,35
C-300545,92,TX,26.3871,-98.8898,09/14/07,Planted/Cultivated,Fallow,107-122,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,<1,4.55,4.6,533,1.1,0.14,1.85,N.S.,≤1.85,6.02,0.2,47.4,5.4,20,<5,12.4,1.73,8.79,<0.01,0.03,1.68,24.1,18,0.57,313,0.57,0.88,8.3,9.7,530,12.8,70.1,0.02,0.62,4.6,<0.2,1.1,203,<0.1,7.3,0.19,0.5,1.7,47,0.7,14.3,46
C-359084,127,TX,31.523,-101.4749,06/07/10,Planted/Cultivated,Small Grains,47-68,26.3,2.5,3,5.4,N.D.,8.6,N.D.,8.6,N.D.,39.4,N.D.,N.D.,39.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,20.3,<1,3.05,6.9,580,1,0.12,5.63,4.7,0.9,17.1,0.2,36.6,6,12,<5,13.5,1.31,7.69,0.01,0.03,1.03,18.6,18,0.48,198,0.63,0.31,8.1,12,380,9.3,48.1,0.03,0.64,4.4,0.2,1.1,197,<0.1,5.9,0.18,0.3,1.5,35,0.9,12.9,33
C-357733,156,TX,29.1455,-97.1004,07/29/10,Planted/Cultivated,Pasture/Hay,15-30,82.7,3.1,N.D.,3.1,N.D.,0.6,N.D.,0.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,13.6,<1,0.79,3.5,161,0.3,0.09,0.52,N.D.,0.52,0.12,<0.1,15.2,1.3,9,<5,5.2,0.62,2.06,0.01,<0.02,0.22,8.4,8,0.04,91,0.48,0.05,4.1,2.7,110,7.4,15.4,0.04,0.45,1,<0.2,0.4,21.4,<0.1,3.3,0.11,<0.1,0.8,22,1.2,4.2,11
N.S.,184,TX,31.3447,-97.9638,06/19/10,Planted/Cultivated,Row Crops,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.,N.S.
C-342381,191,TX,34.2365,-101.268,05/31/10,Planted/Cultivated,Row Crops,86-104,52.1,3.2,4.3,7.5,N.D.,14.9,N.D.,14.9,N.D.,0.9,N.D.,N.D.,0.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.7,N.D.,N.D.,N.D.,23.9,<1,5.07,7,456,1.6,0.21,0.37,0.1,0.3,0.83,0.1,59.5,8.2,27,<5,17.3,2.44,11.4,0.02,0.04,1.56,30,29,0.53,327,0.69,0.42,12.2,18.9,210,14.8,79.6,0.02,0.78,6.8,<0.2,1.5,89.1,<0.1,10,0.26,0.5,2,60,1.2,18.3,56
C-359085,196,TX,30.193,-102.654,06/11/10,Herbaceous Upland,Grasslands/Herbaceous,57-73,11.2,N.D.,3.2,3.2,N.D.,6.4,1.3,7.7,N.D.,57.5,N.D.,N.D.,57.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,20.4,<1,2.57,7.2,241,1,0.11,8.36,6.9,1.5,23.3,0.2,28.6,4.9,9,<5,16.2,1.17,6.59,0.01,0.03,0.85,14.7,13,0.4,298,1.08,0.26,7,10.2,440,8.4,42.4,0.02,0.52,3.8,0.3,0.9,176,<0.1,4.8,0.15,0.4,1.7,29,1,11.8,37
