C_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,C_Depth,C_Quartz,C_Tot_K_fs,C_Tot_Plag,C_Tot_Flds,C_Tot_14A,C_Tot_10A,C_Kaolinit,C_Tot_Clay,C_Gibbsite,C_Calcite,C_Dolomite,C_Aragon,C_Tot_Carb,C_Analcime,C_Heuland,C_Tot_Zeol,C_Gypsum,C_Talc,C_Hornbl,C_Serpent,C_Hematite,C_Goethite,C_Pyroxene,C_Pyrite,C_Other,C_Amorph,C_Ag,C_Al,C_As,C_Ba,C_Be,C_Bi,C_C_Tot,C_C_Inorg,C_C_Org,C_Ca,C_Cd,C_Ce,C_Co,C_Cr,C_Cs,C_Cu,C_Fe,C_Ga,C_Hg,C_In,C_K,C_La,C_Li,C_Mg,C_Mn,C_Mo,C_Na,C_Nb,C_Ni,C_P,C_Pb,C_Rb,C_S,C_Sb,C_Sc,C_Se,C_Sn,C_Sr,C_Te,C_Th,C_Ti,C_Tl,C_U,C_V,C_W,C_Y,C_Zn
C-328578,6112,FL,26.4541,-81.2743,02/06/09,Planted/Cultivated,Pasture/Hay,70-100,74.8,N.D.,N.D.,N.D.,N.D.,N.D.,10.9,10.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,14.3,<1,3.85,8.4,67,1.6,0.1,0.19,N.D.,0.19,0.32,<0.1,58.5,4.8,29,<5,2.5,1.62,8.64,0.04,0.04,0.12,26.3,47,0.18,19,0.82,0.02,5.5,17.7,250,12.2,7.6,<0.01,1.86,6.5,<0.2,0.9,46.1,<0.1,5.5,0.16,0.1,1.4,87,0.5,24.1,7
C-328587,6368,FL,27.5393,-81.845,02/10/09,Planted/Cultivated,Pasture/Hay,80-105,94.3,0.6,N.D.,0.6,N.D.,5.1,N.D.,5.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.44,1.4,9,<0.1,0.06,0.28,N.D.,0.28,<0.01,<0.1,6.69,0.2,2,<5,4.9,0.06,2.39,0.02,<0.02,<0.01,3.6,3,0.01,<5,1.18,<0.01,3.4,1.6,110,3.6,0.7,<0.01,0.06,0.5,<0.2,0.8,8,<0.1,1.1,0.13,<0.1,0.4,5,0.2,1.6,2
C-328656,6624,FL,26.9457,-81.1126,02/06/09,Herbaceous Upland,Grasslands/Herbaceous,70-100,94.5,5.1,N.D.,5.1,N.D.,0.4,N.D.,0.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.12,<0.6,28,<0.1,<0.04,0.05,N.D.,0.05,0.02,<0.1,4.61,<0.1,1,<5,<0.5,0.04,0.38,<0.01,<0.02,0.07,2.2,<1,<0.01,5,0.11,<0.01,0.9,0.5,<50,1.2,2,<0.01,0.05,0.1,<0.2,0.1,5.4,<0.1,0.9,0.04,<0.1,0.1,1,<0.1,0.5,<1
C-328511,6816,FL,30.2442,-81.8024,02/12/09,Planted/Cultivated,Urban/Recreational Grasses,80-100,96.6,0.6,N.D.,0.6,N.D.,2.8,N.D.,2.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.1,<0.6,6,<0.1,<0.04,0.1,N.D.,0.1,<0.01,<0.1,2.93,<0.1,2,<5,<0.5,0.02,0.51,<0.01,<0.02,<0.01,1.6,1,<0.01,6,0.3,<0.01,2,1.9,<50,1.1,0.5,<0.01,0.05,0.2,<0.2,0.3,0.8,<0.1,0.4,0.07,<0.1,0.1,2,0.3,0.5,<1
C-328600,6880,FL,27.9979,-80.7541,02/11/09,Planted/Cultivated,Urban/Recreational Grasses,60-100,95.1,0.3,N.D.,0.3,N.D.,4.7,N.D.,4.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.35,0.7,28,<0.1,<0.04,0.48,N.D.,0.48,0.05,<0.1,8.7,0.2,1,<5,2.6,0.11,0.87,0.01,<0.02,0.06,4.2,4,0.02,13,0.24,0.02,1.5,1.4,<50,2.2,2.5,<0.01,<0.05,0.6,<0.2,0.2,9.8,<0.1,1.6,0.06,<0.1,1,4,<0.1,1.3,2
C-328559,7136,FL,25.9793,-81.371,02/05/09,Herbaceous Upland,Grasslands/Herbaceous,50-100,96.3,1,N.D.,1,N.D.,2.8,N.D.,2.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.36,2,15,0.2,<0.04,0.18,N.D.,0.18,0.09,<0.1,11.6,0.3,5,<5,2.3,0.24,1.31,<0.01,<0.02,0.03,5.5,8,0.02,16,0.16,<0.01,1.2,2.6,50,2.4,1.9,<0.01,0.17,0.9,<0.2,0.2,6.5,<0.1,1.7,0.05,<0.1,0.2,15,<0.1,3.9,2
C-328515,7200,FL,30.1493,-85.3012,02/16/09,Planted/Cultivated,Urban/Recreational Grasses,60-100,96.5,0.2,N.D.,0.2,N.D.,3.3,N.D.,3.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.32,0.7,16,<0.1,<0.04,0.12,N.D.,0.12,<0.01,<0.1,26.9,0.2,2,<5,1.2,0.06,1.11,<0.01,<0.02,0.02,12.5,3,0.01,11,0.19,<0.01,3.9,2.5,<50,2.1,2,<0.01,0.1,0.7,<0.2,0.4,1.6,<0.1,4.4,0.14,<0.1,0.7,6,0.4,2.5,2
C-328659,7328,FL,29.8561,-83.2519,02/14/09,Forested Upland,Evergreen Forest,50-75,96.2,3.8,N.D.,3.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.61,<0.6,56,0.7,0.04,0.15,N.D.,0.15,0.23,0.2,18.2,0.5,8,<5,2.1,0.3,1.58,0.01,<0.02,0.02,10.5,4,0.01,44,0.15,0.02,0.8,1.5,3720,2.9,1.7,<0.01,0.13,1.5,<0.2,0.3,130,<0.1,2.4,0.08,<0.1,4.5,11,0.2,10,4
C-328563,7392,FL,29.2011,-82.4498,02/14/09,Planted/Cultivated,Pasture/Hay,30-100,95.9,0.2,N.D.,0.2,N.D.,3.9,N.D.,3.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.25,<0.6,15,<0.1,<0.04,0.24,N.D.,0.24,0.07,<0.1,5.76,0.1,<1,<5,1.5,0.04,0.79,<0.01,<0.02,0.01,2.9,2,0.01,7,0.08,<0.01,1.3,1.3,70,1,1.6,<0.01,0.06,0.2,<0.2,0.3,14.4,<0.1,0.8,0.06,<0.1,0.2,2,<0.1,1.1,2
C-328517,7648,FL,27.4228,-81.5141,02/10/09,Shrubland,Shrubland,100-130,95.8,0.6,N.D.,0.6,N.D.,3.5,N.D.,3.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.04,<0.6,7,<0.1,<0.04,0.05,N.D.,0.05,0.04,<0.1,1.17,0.1,1,<5,0.9,0.04,0.34,<0.01,<0.02,<0.01,0.6,<1,<0.01,19,0.32,<0.01,2.2,1.1,<50,1.2,<0.2,<0.01,<0.05,0.1,<0.2,0.2,1.1,<0.1,0.3,0.1,<0.1,0.1,2,0.2,0.3,2
C-328503,7904,FL,28.301,-81.2399,02/11/09,Planted/Cultivated,Urban/Recreational Grasses,100-130,97.1,N.D.,N.D.,N.D.,N.D.,2.9,N.D.,2.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.12,<0.6,6,<0.1,<0.04,0.35,N.D.,0.35,0.02,<0.1,2.1,<0.1,2,<5,0.6,0.01,0.79,<0.01,<0.02,<0.01,1.1,<1,<0.01,<5,0.69,<0.01,2.3,1.4,140,1.4,0.3,<0.01,0.14,0.2,<0.2,0.5,2.3,0.2,0.5,0.1,<0.1,0.1,2,0.7,0.4,<1
C-328497,8144,FL,30.7515,-86.3787,02/16/09,Forested Upland,Evergreen Forest,10-100,94.6,1.6,N.D.,1.6,N.D.,3.8,N.D.,3.8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.62,1.4,22,<0.1,<0.04,0.05,N.D.,0.05,<0.01,<0.1,9.36,0.6,1,<5,2,0.22,1.39,0.01,<0.02,0.03,4.3,3,0.02,31,0.12,<0.01,1.9,2.2,50,2.3,3.5,<0.01,0.07,0.9,<0.2,<0.1,2.9,<0.1,1.8,0.09,<0.1,0.4,7,<0.1,1.7,5
C-328508,8160,FL,26.6807,-80.3778,02/07/09,Forested Upland,Mixed Forest,40-100,80.5,2,N.D.,2,N.D.,N.D.,N.D.,N.D.,N.D.,9.7,N.D.,7.9,17.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.16,<0.6,30,<0.1,<0.04,1.78,2.1,N.D.,5.03,<0.1,4.35,0.4,2,<5,1.1,0.06,0.32,<0.01,<0.02,0.06,2,2,0.04,9,0.12,0.02,0.6,2,60,1.3,1.9,0.02,<0.05,0.3,<0.2,<0.1,167,<0.1,0.5,0.01,<0.1,0.6,3,0.2,1.5,<1
C-328650,8224,FL,30.7729,-85.5656,02/16/09,Planted/Cultivated,Urban/Recreational Grasses,40-100,75.1,N.D.,N.D.,N.D.,N.D.,N.D.,12.1,12.1,5.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,6.9,<1,4.66,5.4,51,0.4,0.22,0.15,N.D.,0.15,0.02,<0.1,46.8,2.2,23,<5,16.7,2.34,12.2,0.03,0.05,0.1,20.6,14,0.05,48,1.4,<0.01,10.5,13.3,160,8.9,11.2,0.03,0.49,6.3,0.4,1.9,10.7,<0.1,8.2,0.3,0.2,1.6,58,0.9,8.9,19
C-328534,8240,FL,25.7627,-80.6736,02/05/09,Herbaceous Upland,Grasslands/Herbaceous,0-10,28.2,N.D.,N.D.,N.D.,N.D.,5,N.D.,5,N.D.,53.3,N.D.,3.2,56.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,10.3,<1,0.69,2.7,26,0.1,0.21,10.4,6.8,3.6,23.6,0.2,9.01,1.5,6,<5,4.8,0.44,1.51,0.04,<0.02,0.05,4.6,12,0.15,47,0.49,0.01,1.6,5.5,280,12.6,2.7,0.06,0.26,1.1,<0.2,1.9,1570,<0.1,1.5,0.04,<0.1,2.3,12,1.2,3.7,15
C-328651,8288,FL,30.7671,-87.1936,02/16/09,Planted/Cultivated,Urban/Recreational Grasses,20-100,96.5,3.5,N.D.,3.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.92,1.4,30,0.2,0.09,0.17,N.D.,0.17,<0.01,<0.1,20.6,1,6,<5,14.3,0.45,2.68,0.01,<0.02,0.05,9.2,5,0.02,71,0.33,<0.01,2.8,3.2,80,4.8,5.5,<0.01,0.16,1.4,<0.2,1.2,4,<0.1,3.3,0.14,<0.1,0.6,13,0.2,3,8
C-328564,8608,FL,30.4709,-83.0974,02/13/09,Planted/Cultivated,Urban/Recreational Grasses,20-120,96.7,0.2,N.D.,0.2,N.D.,3.1,N.D.,3.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.26,<0.6,20,<0.1,0.05,0.05,N.D.,0.05,0.02,<0.1,10.8,0.3,2,<5,4.5,0.11,0.94,<0.01,<0.02,0.02,5.1,3,0.01,38,0.29,<0.01,2.3,1.6,70,1.9,3.2,<0.01,0.1,0.4,<0.2,0.5,3.9,<0.1,1.9,0.12,<0.1,0.4,4,<0.1,2,3
C-328532,8672,FL,29.1579,-81.8131,02/12/09,Forested Upland,Evergreen Forest,50-100,96.7,0.4,N.D.,0.4,N.D.,2.9,N.D.,2.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.36,<0.6,15,<0.1,<0.04,0.07,N.D.,0.07,<0.01,<0.1,8.15,0.2,2,<5,0.7,0.15,1.01,<0.01,<0.02,<0.01,4.1,2,0.01,17,0.22,<0.01,2.1,2.5,60,2.2,0.7,<0.01,<0.05,0.3,<0.2,0.1,6.3,<0.1,1.6,0.08,<0.1,0.4,4,0.2,1.5,1
C-328525,8928,FL,27.5608,-80.8269,02/07/09,Planted/Cultivated,Pasture/Hay,50-100,96.5,N.D.,N.D.,N.D.,N.D.,3.5,N.D.,3.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.13,0.8,6,<0.1,<0.04,0.15,N.D.,0.15,<0.01,<0.1,2.16,<0.1,2,<5,0.7,0.02,0.82,<0.01,<0.02,<0.01,1.2,1,<0.01,<5,0.55,<0.01,1.9,1.6,60,1.7,0.3,<0.01,<0.05,0.1,<0.2,0.4,1.6,<0.1,0.5,0.07,<0.1,0.2,2,0.3,0.4,<1
C-328562,9184,FL,25.1376,-80.9473,02/05/09,Herbaceous Upland,Grasslands/Herbaceous,60-100,3,1.9,N.D.,1.9,N.D.,5.7,N.D.,5.7,N.D.,22.6,1.5,44.2,68.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,21.2,<1,1.32,2,33,0.4,0.04,9.47,8.2,1.3,24.2,<0.1,14,1.4,18,<5,2.2,0.66,2.58,<0.01,<0.02,0.2,8.1,31,1.29,59,0.59,1,2.4,6.6,220,3.5,10.3,0.33,0.12,2.1,<0.2,0.4,2890,0.1,2.2,0.07,0.1,2.4,15,0.2,8.8,6
C-328500,9248,FL,30.325,-84.8361,02/13/09,Forested Upland,Evergreen Forest,60-100,96.4,3.6,N.D.,3.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.12,0.9,7,<0.1,<0.04,0.1,N.D.,0.1,<0.01,<0.1,6.62,0.1,2,<5,0.9,0.06,0.95,<0.01,<0.02,0.01,3.2,1,<0.01,<5,0.7,<0.01,2.8,1.7,<50,1.7,0.6,<0.01,0.31,0.3,<0.2,1.1,0.9,0.5,1.3,0.17,<0.1,0.3,5,1,1,2
C-328509,9440,FL,27.259,-82.4277,02/10/09,Planted/Cultivated,Urban/Recreational Grasses,80-100,95.7,1.3,N.D.,1.3,N.D.,3,N.D.,3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.23,<0.6,7,<0.1,<0.04,0.11,N.D.,0.11,<0.01,<0.1,5.51,<0.1,2,<5,1.4,0.04,1.53,<0.01,<0.02,<0.01,2.9,2,<0.01,<5,1.13,<0.01,2.8,1.7,160,2.4,0.4,<0.01,0.08,0.5,<0.2,0.5,4,<0.1,1.4,0.09,<0.1,0.4,3,0.4,0.9,1
C-328565,9632,FL,30.5944,-83.5469,02/13/09,Planted/Cultivated,Urban/Recreational Grasses,20-100,93.9,0.4,N.D.,0.4,N.D.,4.3,N.D.,4.3,N.D.,N.D.,N.D.,1.4,1.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,1.85,1.5,121,0.7,0.08,0.29,0.2,0.1,0.03,<0.1,25.1,1.1,7,<5,6.7,0.67,3.37,0.02,<0.02,0.06,13,6,0.05,132,0.27,0.01,4.4,6.4,490,5.7,8.3,<0.01,0.19,1.9,<0.2,0.7,53,<0.1,3.3,0.18,0.1,1.5,17,0.3,22.3,13
C-328582,9696,FL,28.2772,-81.8276,02/10/09,Non-Natural Woody,Orchards/Vineyards/Tree Farm,50-100,96.9,N.D.,N.D.,N.D.,N.D.,2,N.D.,2,N.D.,N.D.,N.D.,1,1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.23,<0.6,16,<0.1,<0.04,0.14,0.1,0,0.02,<0.1,3.79,<0.1,<1,<5,2.2,0.08,0.69,<0.01,<0.02,<0.01,1.9,2,0.01,10,0.23,<0.01,1.6,0.7,240,1.7,0.8,<0.01,<0.05,0.3,<0.2,0.4,15.1,<0.1,0.6,0.08,<0.1,0.2,3,<0.1,0.9,3
C-328594,9888,FL,29.781,-82.0315,02/12/09,Planted/Cultivated,Urban/Recreational Grasses,30-100,95.8,1.1,N.D.,1.1,N.D.,3.1,N.D.,3.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.3,1.2,12,<0.1,0.04,0.13,N.D.,0.13,<0.01,<0.1,4.91,0.2,2,<5,3.2,0.14,1.25,<0.01,<0.02,0.01,2.5,2,0.01,26,0.31,<0.01,2.2,1,70,2.3,1.3,<0.01,0.1,0.5,<0.2,0.5,2.4,<0.1,1,0.18,<0.1,0.2,4,<0.1,0.8,3
C-328598,9952,FL,27.0317,-80.1504,02/06/09,Planted/Cultivated,Urban/Recreational Grasses,80-100,97,0.4,N.D.,0.4,N.D.,2.6,N.D.,2.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.03,<0.6,9,<0.1,<0.04,0.13,N.D.,0.13,0.01,<0.1,1.67,<0.1,<1,<5,1.7,0.02,0.29,<0.01,<0.02,<0.01,0.8,2,<0.01,8,0.21,<0.01,0.9,<0.5,<50,<0.5,0.3,<0.01,<0.05,<0.1,<0.2,0.2,1,<0.1,0.3,0.06,<0.1,<0.1,<1,<0.1,0.3,2
C-328518,10208,FL,26.5248,-81.3885,02/06/09,Planted/Cultivated,Urban/Recreational Grasses,70-100,97,0.3,N.D.,0.3,N.D.,2.7,N.D.,2.7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.13,1.7,7,<0.1,<0.04,0.73,N.D.,0.73,0.02,<0.1,5.4,<0.1,2,<5,0.6,<0.01,0.7,<0.01,<0.02,<0.01,2.6,1,0.01,<5,0.53,<0.01,1.6,1.7,<50,1.6,0.3,<0.01,0.06,0.1,<0.2,0.3,2,<0.1,1.1,0.06,<0.1,0.2,2,0.3,0.6,<1
C-328498,10272,FL,29.8151,-84.8391,02/15/09,Forested Upland,Evergreen Forest,60-110,96.6,1.8,N.D.,1.8,N.D.,1.6,N.D.,1.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.12,0.9,10,<0.1,<0.04,0.07,N.D.,0.07,<0.01,<0.1,1.42,<0.1,<1,<5,1.3,0.03,0.3,<0.01,<0.02,0.01,0.7,2,<0.01,<5,0.08,<0.01,0.6,0.7,<50,<0.5,0.8,<0.01,<0.05,0.2,<0.2,<0.1,0.7,<0.1,0.3,0.02,<0.1,0.1,2,<0.1,0.4,3
C-328573,10336,FL,30.7714,-86.6785,02/16/09,Planted/Cultivated,Urban/Recreational Grasses,70-100,84.9,0.6,N.D.,0.6,N.D.,N.D.,5.2,5.2,7.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,1.9,<1,3.91,6.1,43,0.2,0.18,0.25,N.D.,0.25,0.06,<0.1,26.4,1.2,20,<5,7,2.24,9.97,0.03,0.04,0.08,14.2,14,0.06,20,0.97,<0.01,4.7,11,80,7.5,6.5,0.02,0.33,4.6,0.7,1.6,12.3,<0.1,6.7,0.34,<0.1,1.4,51,0.2,6.9,13
C-328510,10464,FL,27.8544,-82.2882,02/10/09,Planted/Cultivated,Urban/Recreational Grasses,80-100,96.6,N.D.,N.D.,N.D.,N.D.,3.3,N.D.,3.3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.2,<0.6,14,<0.1,<0.04,0.02,N.D.,0.02,<0.01,<0.1,4.62,0.1,3,<5,0.6,0.03,0.68,<0.01,<0.02,0.01,2.5,2,0.01,<5,0.32,<0.01,1.7,2.8,80,1.5,0.8,<0.01,0.06,0.2,<0.2,0.2,18.6,<0.1,0.7,0.06,<0.1,0.3,2,0.4,1.1,1
C-328581,10720,FL,26.8707,-80.6251,02/06/09,Planted/Cultivated,Row Crops,0-50,8.5,N.D.,6.8,6.8,N.D.,2.4,N.D.,2.4,N.D.,2.9,0.5,N.D.,3.4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,35.9,43,<1,3.34,6.7,170,1.6,0.15,9.92,0.4,9.5,4.6,0.3,37.8,7.7,41,5,28.3,3.49,7.67,0.11,0.04,0.46,18.1,22,3.61,265,0.93,0.13,5.8,19.9,1570,12.4,42.4,0.16,0.65,6.2,1.7,1.2,410,<0.1,5.4,0.16,0.4,1.4,40,0.4,18,43
C-328592,10912,FL,30.1457,-81.5144,02/12/09,Planted/Cultivated,Pasture/Hay,120-140,94.1,0.9,N.D.,0.9,N.D.,5,N.D.,5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.9,<0.6,42,0.1,0.05,0.28,N.D.,0.28,0.01,<0.1,19.1,0.4,2,<5,2.7,0.16,2.97,<0.01,<0.02,0.12,9.4,3,0.02,19,0.64,0.01,2.4,1.7,140,5,4.8,<0.01,0.06,1.5,<0.2,0.3,11.6,<0.1,3.1,0.09,<0.1,0.6,7,<0.1,3.1,3
C-328665,10976,FL,28.2896,-80.7447,02/12/09,Planted/Cultivated,Pasture/Hay,90-100,80.3,N.D.,N.D.,N.D.,N.D.,6.9,N.D.,6.9,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,12.9,<1,2.55,<0.6,45,0.5,0.08,0.32,N.D.,0.32,0.17,<0.1,17.5,1.8,11,<5,1,0.53,8.75,0.03,0.02,0.06,9.3,29,0.11,14,0.65,0.06,5.1,6.6,100,7.9,5,0.02,0.16,3.7,0.6,0.9,73.7,<0.1,3.6,0.15,<0.1,0.6,27,0.4,4.1,6
C-328501,11232,FL,25.7606,-81.0024,02/05/09,Herbaceous Upland,Grasslands/Herbaceous,20-30,96.1,N.D.,N.D.,N.D.,N.D.,3.4,N.D.,3.4,N.D.,0.5,N.D.,N.D.,0.5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.44,6,14,0.2,<0.04,0.33,0.1,0.2,0.11,<0.1,7.5,0.4,4,<5,2,0.5,1.5,<0.01,<0.02,0.01,3.7,7,0.02,12,0.36,<0.01,1.5,3.1,<50,3.8,1.3,<0.01,0.31,0.9,<0.2,0.4,8.1,0.3,1.4,0.03,<0.1,0.4,17,0.7,2.5,2
C-328495,11296,FL,30.2638,-84.4009,02/13/09,Forested Upland,Evergreen Forest,60-100,96.2,0.8,N.D.,0.8,N.D.,3.1,N.D.,3.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.49,1.7,18,<0.1,0.07,0.15,N.D.,0.15,<0.01,<0.1,8,0.3,3,<5,1.3,0.15,2.25,<0.01,<0.02,0.02,4.2,4,0.02,7,0.67,<0.01,5.3,1.9,<50,3.1,2.4,<0.01,0.12,1.3,<0.2,0.6,6,<0.1,2.4,0.18,<0.1,0.8,12,0.5,2.1,4
C-328590,11424,FL,29.4947,-83.2739,02/14/09,Forested Upland,Mixed Forest,30-100,95.8,1.1,N.D.,1.1,N.D.,3.2,N.D.,3.2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.25,<0.6,8,<0.1,<0.04,0.06,N.D.,0.06,<0.01,<0.1,4.66,0.1,2,<5,2.4,0.09,0.69,<0.01,<0.02,<0.01,2.4,2,0.01,6,0.29,<0.01,1.2,1.4,60,1.3,1,<0.01,<0.05,0.4,<0.2,0.3,2.2,<0.1,0.8,0.05,<0.1,0.2,3,<0.1,0.7,3
C-328599,11488,FL,29.0344,-82.4927,02/14/09,Planted/Cultivated,Urban/Recreational Grasses,20-110,96.6,0.3,N.D.,0.3,N.D.,3.1,N.D.,3.1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,<1,0.33,<0.6,16,<0.1,<0.04,0.1,N.D.,0.1,<0.01,<0.1,5.21,0.1,2,<5,6.4,0.12,0.95,<0.01,<0.02,<0.01,2.7,2,<0.01,8,0.17,<0.01,1.2,1.7,100,1.7,0.9,<0.01,<0.05,0.3,<0.2,0.3,20.5,<0.1,0.7,0.05,<0.1,0.2,3,<0.1,1.7,2
